hash,timestamp,anchor_freq
77fad82f73cf43f3e9c240a6748b1c586bddc24f,0.023219954648526,1119
88928bd76b79d2a7741a0dc9bf10bf31c9dbcbb9,0.0464399092970521,839
204c4fbc5e5b41dbee4e03fbe202258a3420028a,0.0580498866213151,1119
2e5b35ce09ffa10fe234cdbf00d602d3f12c0525,0.0696598639455782,1119
25ca3dd80682918b6d6865df2db152f6ec6e729d,0.0928798185941043,839
062193d0dc9a0c91ae0ac386ebd9274fd48467c1,0.1973696145124716,667
2aeb22156d1155569d37ab1463449ea78b435b4c,0.2554195011337868,667
c0eaef316cb8bd1e818beae7ad1882e6c27cf30c,0.7894784580498866,1119
6cdc8e74454cca5a6568cd44dfb64e7c3458f313,0.893968253968254,1119
711c476ab7f103404046734f95f04a960f435f50,0.91718820861678,1119
3932bc3efa7aa2aa43b1f80d205eaa4a7f2e4608,0.9287981859410432,667
6646330d4f0ae04ce686eeda9a27c7040c218101,0.9636281179138322,839
73642853b8afddd5b5ab5f1854c85ec9aa99fefe,0.9752380952380952,839
87146cb20a13cc4c962c907afe8b8dad377d5122,0.9868480725623584,839
c62511623f6d893d911787422064a6c76db5ba1e,1.0100680272108844,559
a396a932457fea3b6ae6b7d3f22f9fdebab01dff,1.0216780045351477,559
1f230c182c5517e7b0c6859f6ac8501c28f2c61b,1.0332879818594105,538
49de4bcb5a1f9b8c12bd26ac566bc0fe9da76686,1.0565079365079366,559
548e49d9bc8af793a5d9af011c9a8391def16544,1.0681179138321997,559
e1ac7d350853588d17fc04ebcc8189fc59d006cc,1.0797278911564625,559
03f12431b2b631a422da97c7c1ebbaf9082c16f8,1.0913378684807256,559
4a740fd4c2e04a8ea4b59e1329d178b5827241f5,1.1261678004535147,1550
95b237b2f6af709464860fa144512c7e99a2ae4f,1.207437641723356,559
c89378adb23460f44f62e470f51f4dd2ebedad2b,1.555736961451247,559
3546a966e139318aa8650fe3bb50e7d883265e19,1.6021768707482993,559
4b87b06ad0ae065af4a3f2e66899870c9497ac0e,1.6253968253968254,559
62fce7d870a546095d448c4dd1788efc3d2673ed,1.6602267573696146,559
543c27e822bced99ef4c13b000b3b009bdbac304,1.9969160997732427,559
c732837efafa4664b8f1b6f98f99c649bb205dfb,2.008526077097505,796
543c27e822bced99ef4c13b000b3b009bdbac304,2.020136054421769,559
180d36bf1d073d8bcf5f8b0194aa9e3a2375754b,2.043356009070295,559
7ec978959e02100e85adffcc1e0515a18b4c4aeb,2.066575963718821,559
cc39d1c10bfa300cd8699a5191813417aa5e088e,2.089795918367347,839
ca14a453aaec3fb10c5204f4803f51105fea2b25,2.113015873015873,839
42b42fb1de089ab6fcd25bb83e4a9abce1149b03,2.147845804988662,667
9a85a1a8f87516aeec17a0cffc53aacf57eb057e,2.205895691609977,667
fe043b592e3a504c684c5d34c871500dfb5ecb4d,2.2871655328798184,667
82ab536e827385445fca7273b8feb6713745af4d,2.345215419501134,1550
ed01077ef8212d4908f1f7691a1a589149fbe3d4,2.36843537414966,559
e1297a9fa970544891dfd8092f6a31cf41815805,2.391655328798186,559
008c5bfb1fb6bf756048b19594e568cd4a3d2568,2.403265306122449,559
5afb721b7dc68cf153924323fccf5ae34e7a2691,2.4729251700680277,1571
f7a145bcf6bd2aed0c0fca3190b4ef54cf7247c9,2.589024943310658,559
830272be6aec5753bab77485f937ce9c44e6a086,2.6122448979591835,559
4241babe24ac3fedd763cb77a8b5b9b938060d80,2.670294784580499,559
99c66ed8d3d82fc7eac8dcce33cc404df5269780,2.9373242630385485,1335
27cbf11d93cbb3f6661379a187a4e3dc4d153b9c,2.948934240362812,667
eafa3a102b13197694034a74afe851f93804be20,2.9605442176870747,1270
f505943371c5f1ccf9ef7baa87d3a7f69a2dee7c,2.972154195011338,645
5459df39a776959415f3e71476c2b3327a6109f1,2.9837641723356008,645
8ad57334837c36887cca3365cec95628b21fb3e5,2.995374149659864,645
b600c0d706983007b9ef8fcd084bfbfcc751bc09,3.01859410430839,1076
3bdc48a2f5312ab9134cfa1a2e72c04f95172922,3.1579138321995464,1894
4c583126f5da8867402368c1130a6d9dcef6c8bd,3.1695238095238096,1894
b9f0fa21b5b3953ce0f8be0b25425d618380fa3c,3.1811337868480725,1744
83e09a82ff97386edb49c492fb484b139a5ef39b,3.215963718820862,667
2db3e23a6350bd7ce1a76a9fcd99945d8b821b5a,3.2275736961451247,645
926fbb968ec3eef4df15bc5c5c0dca90acc69e75,3.239183673469388,1291
68694c409eca6b42d884d342e9d0e5383fc8051d,3.239183673469388,667
